Ástaigos kodas;Gydytojo ID;Laisvos registracijos data;Áraðo_sukûrimo_data
124244035;361;2019-03-13 14:15;2019-03-13 03:05
124244035;16900;2019-03-13 07:00;2019-03-13 03:05
124244035;18055;2019-03-13 18:15;2019-03-13 03:05
124244035;30940;2019-03-13 07:00;2019-03-13 03:05
124244035;4356;2019-03-13 07:15;2019-03-13 03:05
124244035;31886;2019-03-13 08:30;2019-03-13 03:05
124244035;21350;2019-03-13 14:30;2019-03-13 03:05
124244035;11112;2019-03-13 07:00;2019-03-13 03:05
124244035;16754;2019-03-13 07:45;2019-03-13 03:05
124244035;33172;2019-03-13 07:30;2019-03-13 03:05
124244035;8494;2019-03-13 07:30;2019-03-13 03:05
124244035;11218;2019-03-13 07:00;2019-03-13 03:05
124244035;16803;2019-03-13 08:30;2019-03-13 03:05
124244035;33161;2019-03-13 07:00;2019-03-13 03:05
124244035;33225;2019-03-13 11:30;2019-03-13 03:05
124244035;32607;2019-03-13 07:15;2019-03-13 03:05
124244035;17271;2019-03-13 16:45;2019-03-13 03:05
124244035;4136;2019-03-14 18:45;2019-03-13 03:05
124244035;31286;2019-03-14 10:45;2019-03-13 03:05
124244035;25496;2019-03-14 16:45;2019-03-13 03:05
124244035;21468;2019-03-14 14:45;2019-03-13 03:05
124244035;16365;2019-03-14 14:30;2019-03-13 03:05
124244035;21428;2019-03-15 17:45;2019-03-13 03:05
124244035;17155;2019-03-15 14:45;2019-03-13 03:05
124244035;23024;2019-03-15 13:45;2019-03-13 03:05
124244035;31104;2019-03-15 07:45;2019-03-13 03:05
124244035;26311;2019-03-15 15:15;2019-03-13 03:05
124244035;18268;2019-03-18 07:30;2019-03-13 03:05
124244035;25416;2019-03-18 14:15;2019-03-13 03:05
124244035;31379;2019-03-18 07:15;2019-03-13 03:05
124244035;15459;2019-03-18 14:00;2019-03-13 03:05
124244035;31553;2019-03-18 07:15;2019-03-13 03:05
124244035;10486;2019-03-18 18:15;2019-03-13 03:05
124244035;12523;2019-03-18 16:45;2019-03-13 03:05
124244035;8466;2019-03-19 13:45;2019-03-13 03:05
124244035;30089;2019-03-19 07:30;2019-03-13 03:05
124244035;30344;2019-03-19 08:15;2019-03-13 03:05
124244035;25487;2019-03-19 07:45;2019-03-13 03:05
124244035;24979;2019-03-19 14:00;2019-03-13 03:05
124244035;18056;2019-03-19 08:15;2019-03-13 03:05
124244035;22347;2019-03-19 14:45;2019-03-13 03:05
124244035;23027;2019-03-19 07:00;2019-03-13 03:05
124244035;30814;2019-03-19 13:45;2019-03-13 03:05
124244035;33243;2019-03-20 11:00;2019-03-13 03:05
124244035;119857;2019-03-20 17:15;2019-03-13 03:05
124244035;10209;2019-03-20 07:15;2019-03-13 03:05
124244035;17706;2019-03-20 07:30;2019-03-13 03:05
124244035;31559;2019-03-20 07:15;2019-03-13 03:05
124244035;24608;2019-03-21 16:30;2019-03-13 03:05
124244035;24907;2019-03-21 11:15;2019-03-13 03:05
124244035;26268;2019-03-22 07:30;2019-03-13 03:05
124244035;32276;2019-03-22 16:30;2019-03-13 03:05
124244035;24423;2019-03-22 07:30;2019-03-13 03:05
124244035;121232;2019-03-25 08:15;2019-03-13 03:05
124244035;26261;2019-03-25 16:45;2019-03-13 03:05
124244035;32757;2019-03-25 16:30;2019-03-13 03:05
124244035;30271;2019-03-25 13:45;2019-03-13 03:05
124244035;10205;2019-03-27 13:30;2019-03-13 03:05
124244035;31927;2019-03-28 16:45;2019-03-13 03:05
124244035;24660;2019-04-01 07:30;2019-03-13 03:05
124244035;26537;2019-04-10 13:30;2019-03-13 03:05
124244035;8706;2019-03-13 15:15;2019-03-13 03:05
124244035;15453;2019-03-13 06:45;2019-03-13 03:05
124244035;8636;2019-03-13 07:30;2019-03-13 03:05
124244035;8874;2019-03-15 09:00;2019-03-13 03:05
124244035;15463;2019-03-20 08:15;2019-03-13 03:05
124244035;12598;2019-03-22 07:00;2019-03-13 03:05
124244035;17729;2019-03-26 07:00;2019-03-13 03:05
